customer_id,country,total_orders,total_revenue,first_order_date_only,last_order_date_only,customer_lifespan_days,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_avg_score,segment
16738,UNITED KINGDOM,1,3.75,2011-02-15,2011-02-15,0,298,1,3.75,1,1,1,111,1.0,Lost
17956,UNITED KINGDOM,1,12.75,2011-04-04,2011-04-04,0,250,1,12.75,1,1,1,111,1.0,Lost
17763,UNITED KINGDOM,1,15.0,2011-03-21,2011-03-21,0,264,1,15.0,1,1,1,111,1.0,Lost
17102,UNITED KINGDOM,1,25.5,2011-03-23,2011-03-23,0,262,1,25.5,1,1,1,111,1.0,Lost
13120,UNITED KINGDOM,1,30.6,2011-04-15,2011-04-15,0,239,1,30.6,1,1,1,111,1.0,Lost
16765,UNITED KINGDOM,1,34.0,2011-02-18,2011-02-18,0,295,1,34.0,1,1,1,111,1.0,Lost
14576,UNITED KINGDOM,1,35.4,2010-12-02,2010-12-02,0,373,1,35.4,1,1,1,111,1.0,Lost
15940,UNITED KINGDOM,1,35.8,2011-02-01,2011-02-01,0,312,1,35.8,1,1,1,111,1.0,Lost
16162,UNITED KINGDOM,1,37.4,2011-04-01,2011-04-01,0,253,1,37.4,1,1,1,111,1.0,Lost
12855,UNITED KINGDOM,1,38.1,2010-12-02,2010-12-02,0,373,1,38.1,1,1,1,111,1.0,Lost
16659,UNITED KINGDOM,1,39.12,2011-06-03,2011-06-03,0,190,1,39.12,1,1,1,111,1.0,Lost
14589,UNITED KINGDOM,1,39.75,2010-12-03,2010-12-03,0,372,1,39.75,1,1,1,111,1.0,Lost
15178,UNITED KINGDOM,1,40.5,2011-03-24,2011-03-24,0,261,1,40.5,1,1,1,111,1.0,Lost
14821,UNITED KINGDOM,1,48.8,2010-12-08,2010-12-08,0,367,1,48.8,1,1,1,111,1.0,Lost
13011,UNITED KINGDOM,1,50.55,2010-12-02,2010-12-02,0,373,1,50.55,1,1,1,111,1.0,Lost
16349,UNITED KINGDOM,1,53.5,2011-02-22,2011-02-22,0,291,1,53.5,1,1,1,111,1.0,Lost
15899,UNITED KINGDOM,1,56.25,2010-12-06,2010-12-06,0,369,1,56.25,1,1,1,111,1.0,Lost
17775,UNITED KINGDOM,1,56.4,2011-03-30,2011-03-30,0,255,1,56.4,1,1,1,111,1.0,Lost
14957,UNITED KINGDOM,1,58.49,2011-03-31,2011-03-31,0,254,1,58.49,1,1,1,111,1.0,Lost
13682,UNITED KINGDOM,1,59.5,2011-06-05,2011-06-05,0,188,1,59.5,1,1,1,111,1.0,Lost
13391,UNITED KINGDOM,1,59.8,2011-05-20,2011-05-20,0,204,1,59.8,1,1,1,111,1.0,Lost
17174,UNITED KINGDOM,1,59.9,2011-05-06,2011-05-06,0,218,1,59.9,1,1,1,111,1.0,Lost
14840,UNITED KINGDOM,1,62.85,2011-03-17,2011-03-17,0,268,1,62.85,1,1,1,111,1.0,Lost
14437,UNITED KINGDOM,1,63.0,2010-12-09,2010-12-09,0,366,1,63.0,1,1,1,111,1.0,Lost
17263,UNITED KINGDOM,1,63.44,2011-05-15,2011-05-15,0,209,1,63.44,1,1,1,111,1.0,Lost
